Province/State,Country/Region,Lat,Long,02/28/2020,02/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020
NJ,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,11.0,15.0,24.0,30.0,50.0,50.0,98.0,178.0,267.0,427.0,742.0,890.0,1327.0,1914.0,2844.0,3675.0,4402.0,6876.0,8825.0,11124.0,13386.0,16636.0,18696.0,22255.0,25590.0,29895.0,34124.0,37505.0,41090.0,44416.0,47437.0,51027.0
NM,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,10.0,13.0,17.0,23.0,28.0,35.0,43.0,57.0,57.0,65.0,83.0,100.0,112.0,136.0,191.0,235.0,211.0,255.0,289.0,337.0,377.0,469.0,489.0,494.0,553.0,623.0,664.0
NV,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,7.0,11.0,20.0,21.0,45.0,55.0,55.0,95.0,109.0,124.0,190.0,245.0,278.0,321.0,420.0,535.0,621.0,738.0,1008.0,1113.0,1279.0,1458.0,1514.0,1742.0,1836.0,1953.0,2087.0,2318.0,2456.0
NY,US,20,70,0.0,0.0,0.0,0.0,0.0,6.0,22.0,33.0,76.0,105.0,142.0,173.0,216.0,216.0,421.0,524.0,729.0,950.0,1700.0,2382.0,4152.0,7102.0,10356.0,15168.0,20875.0,25665.0,30811.0,37258.0,42590.0,49592.0,55941.0,62293.0,70820.0,77570.0,84947.0,93977.0,103226.0,109844.0,117323.0,124273.0,134726.0,145347.0
OH,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,13.0,13.0,36.0,50.0,67.0,88.0,119.0,169.0,247.0,351.0,442.0,564.0,704.0,867.0,1137.0,1406.0,1653.0,1933.0,2199.0,2547.0,2902.0,3312.0,3739.0,4043.0,4450.0,4782.0,5148.0,5512.0
OK,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,9.0,10.0,17.0,29.0,44.0,49.0,53.0,67.0,81.0,106.0,164.0,248.0,322.0,377.0,429.0,481.0,565.0,719.0,879.0,605.0,1159.0,1252.0,805.0,860.0,838.0,998.0
OR,US,20,70,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,7.0,14.0,14.0,15.0,19.0,19.0,30.0,30.0,36.0,39.0,47.0,75.0,88.0,114.0,114.0,161.0,191.0,209.0,209.0,327.0,414.0,479.0,548.0,606.0,690.0,736.0,826.0,899.0,999.0,1068.0,1132.0,1181.0,1239.0,1321.0
PA,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,10.0,12.0,16.0,22.0,41.0,47.0,63.0,76.0,96.0,133.0,185.0,268.0,371.0,479.0,644.0,851.0,1127.0,1687.0,2218.0,2751.0,3394.0,4087.0,4843.0,5805.0,7016.0,8420.0,10017.0,11510.0,12980.0,14559.0,16239.0,18228.0
PR,US,20,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,14.0,21.0,23.0,31.0,39.0,51.0,64.0,79.0,100.0,127.0,174.0,239.0,286.0,316.0,378.0,452.0,475.0,513.0,573.0,620.0,683.0
RI,US,20,70,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,14.0,20.0,20.0,21.0,23.0,33.0,44.0,54.0,66.0,83.0,106.0,124.0,132.0,165.0,203.0,239.0,294.0,402.0,454.0,531.0,622.0,674.0,771.0,887.0,1047.0,1195.0,1415.0,1692.0
