,reported_date,patientId,district,active_cases_count
3,2020-03-26,0.0,Palwal,1.0
4,2020-03-27,0.0,Palwal,1.0
2,2020-03-25,5.0,Sangli,9.0
3,2020-03-26,3.0,Sangli,12.0
4,2020-03-27,12.0,Sangli,24.0
2,2020-03-25,0.0,Satara,2.0
3,2020-03-26,0.0,Satara,2.0
4,2020-03-27,0.0,Satara,2.0
2,2020-03-25,0.0,Kanpur,1.0
3,2020-03-26,0.0,Kanpur,1.0
4,2020-03-27,0.0,Kanpur,1.0
2,2020-03-25,1.0,Pilibhit,2.0
3,2020-03-26,0.0,Pilibhit,2.0
4,2020-03-27,0.0,Pilibhit,2.0
2,2020-03-25,0.0,Pratapgarh ,2.0
3,2020-03-26,0.0,Pratapgarh ,2.0
4,2020-03-27,0.0,Pratapgarh ,2.0
2,2020-03-25,0.0,Tiruppur,1.0
3,2020-03-26,0.0,Tiruppur,1.0
4,2020-03-27,0.0,Tiruppur,1.0
2,2020-03-25,0.0,Madurai,1.0
3,2020-03-26,0.0,Madurai,1.0
4,2020-03-27,2.0,Madurai,3.0
2,2020-03-25,0.0,Jaunpur,1.0
3,2020-03-26,0.0,Jaunpur,1.0
4,2020-03-27,0.0,Jaunpur,1.0
1,2020-03-25,0.0,Imphal West,1.0
2,2020-03-26,0.0,Imphal West,1.0
3,2020-03-27,0.0,Imphal West,1.0
1,2020-03-25,0.0,Dakshina Kannada,4.0
2,2020-03-26,0.0,Dakshina Kannada,4.0
3,2020-03-27,2.0,Dakshina Kannada,6.0
1,2020-03-25,0.0,Ranga Reddy,2.0
2,2020-03-26,0.0,Ranga Reddy,2.0
3,2020-03-27,0.0,Ranga Reddy,2.0
1,2020-03-25,0.0,Jalandhar,3.0
2,2020-03-26,1.0,Jalandhar,4.0
3,2020-03-27,1.0,Jalandhar,5.0
1,2020-03-25,2.0,Palakkad,3.0
2,2020-03-26,0.0,Palakkad,3.0
3,2020-03-27,0.0,Palakkad,3.0
1,2020-03-25,0.0,Chitoor,1.0
2,2020-03-26,0.0,Chitoor,1.0
3,2020-03-27,0.0,Chitoor,1.0
0,2020-03-25,4.0,Indore,4.0
1,2020-03-26,5.0,Indore,9.0
2,2020-03-27,5.0,Indore,14.0
0,2020-03-25,1.0,Ujjain,1.0
1,2020-03-26,0.0,Ujjain,1.0
2,2020-03-27,1.0,Ujjain,2.0
0,2020-03-25,1.0,Gwalior,1.0
1,2020-03-26,0.0,Gwalior,1.0
2,2020-03-27,0.0,Gwalior,1.0
0,2020-03-25,1.0,Aizawl,1.0
1,2020-03-26,0.0,Aizawl,1.0
2,2020-03-27,0.0,Aizawl,1.0
0,2020-03-25,5.0,Salem,5.0
1,2020-03-26,0.0,Salem,5.0
2,2020-03-27,1.0,Salem,6.0
0,2020-03-25,1.0,Udupi,1.0
1,2020-03-26,0.0,Udupi,1.0
2,2020-03-27,0.0,Udupi,1.0
0,2020-03-25,1.0,Shivpuri,1.0
1,2020-03-26,0.0,Shivpuri,1.0
2,2020-03-27,0.0,Shivpuri,1.0
0,2020-03-25,4.0,Bandipore,4.0
1,2020-03-26,0.0,Bandipore,4.0
2,2020-03-27,0.0,Bandipore,4.0
0,2020-03-25,1.0,Chitradurga,1.0
1,2020-03-26,0.0,Chitradurga,1.0
2,2020-03-27,0.0,Chitradurga,1.0
0,2020-03-25,1.0,Ludhiana,1.0
1,2020-03-26,0.0,Ludhiana,1.0
2,2020-03-27,0.0,Ludhiana,1.0
0,2020-03-25,1.0,Pauri,1.0
1,2020-03-26,0.0,Pauri,1.0
2,2020-03-27,0.0,Pauri,1.0
0,2020-03-25,1.0,Rajnandgaon,1.0
1,2020-03-26,0.0,Rajnandgaon,1.0
2,2020-03-27,0.0,Rajnandgaon,1.0
0,2020-03-25,1.0,Vellore,1.0
1,2020-03-26,0.0,Vellore,1.0
2,2020-03-27,0.0,Vellore,1.0
0,2020-03-25,1.0,Guntur,1.0
1,2020-03-26,0.0,Guntur,1.0
2,2020-03-27,1.0,Guntur,2.0
0,2020-03-25,3.0,North Goa,3.0
1,2020-03-26,0.0,North Goa,3.0
2,2020-03-27,0.0,North Goa,3.0
0,2020-03-26,1.0,Bilaspur,1.0
1,2020-03-27,0.0,Bilaspur,1.0
0,2020-03-26,1.0,Durg,1.0
1,2020-03-27,0.0,Durg,1.0
0,2020-03-26,1.0,Baghpat,1.0
1,2020-03-27,0.0,Baghpat,1.0
0,2020-03-26,1.0,South Andaman,1.0
1,2020-03-27,0.0,South Andaman,1.0
0,2020-03-26,1.0,Medchal Malkajgiri,1.0
1,2020-03-27,0.0,Medchal Malkajgiri,1.0
0,2020-03-26,1.0,Tiruchirappalli,1.0
1,2020-03-27,0.0,Tiruchirappalli,1.0
0,2020-03-26,1.0,Wayanad,1.0
1,2020-03-27,0.0,Wayanad,1.0
0,2020-03-26,1.0,Rajouri,1.0
1,2020-03-27,2.0,Rajouri,3.0
0,2020-03-26,1.0,Kolhapur,1.0
1,2020-03-27,0.0,Kolhapur,1.0
0,2020-03-27,1.0,N&M Andaman,1.0
0,2020-03-27,1.0,Siwan,1.0
0,2020-03-27,1.0,Nalanda,1.0
0,2020-03-27,1.0,Gondiya,1.0
0,2020-03-27,1.0,Tumkur,1.0
0,2020-03-27,1.0,Kollam,1.0
0,2020-03-27,1.0,Davanagere,1.0
