,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
10,5/16/20,160.8063637718,1381.3653896306,1202.4,133.6,2717.3653896306,1335,1230.8307327860919,1531.9000464751082,1189.5180236916467,1480.4819763083533,1071.368143585645,1333.4318564143553,119.04090484284943,148.15909515715057,2421.2397812145864,3013.4909980466136,2671.0663920556,1336,1335,26.7,23.79036047383293,29.60963952616707
11,5/17/20,135.527071826,1320.0696343273,1283.4,142.6,2746.0696343273003,1281,1176.2146985470895,1463.9245701075106,1141.4026879018722,1420.5973120981278,1143.5411472703067,1423.2588527296934,127.0601274744785,158.1398725255215,2446.815973291875,3045.3232953627257,2707.9234034859,1426,1281,25.62,22.828053758037445,28.411946241962557
12,5/18/20,114.223147904,1258.8859862661,1361.7,151.3,2771.8859862661,1226,1121.698554633978,1396.073417898222,1092.39632737525,1359.60367262475,1213.3083841654795,1510.0916158345206,134.81204268505329,167.78795731494674,2469.818981484511,3073.9529910476895,2739.0241927950997,1513,1226,24.52,21.847926547505,27.192073452495
13,5/19/20,96.26612671299999,1196.7184964596,1436.4,159.60000000000002,2792.7184964596,1169,1066.3057833886608,1327.131209530539,1041.6079173749324,1296.3920826250676,1279.867932008001,1592.9320679919992,142.207548000889,176.99245199911104,2488.381263397551,3097.055729521649,2765.1883989426997,1596,1169,23.38,20.83215834749865,25.92784165250135
14,5/20/20,81.13155341470001,1135.3778024784,1507.5,167.5,2810.3778024784,1112,1011.6497076760083,1259.1058972807919,990.819507374615,1233.180492625385,1343.2197907978707,1671.7802092021293,149.24664342198562,185.75335657801438,2504.1161418958645,3116.6394630609357,2787.2236705897003,1675,1112,22.240000000000002,19.816390147492303,24.6636098525077
15,5/21/20,68.3763062739,1074.6727384231,1575.0,175.0,2824.6727384231,1055,957.5599939508135,1191.7854828953868,940.0310973742975,1169.9689026257024,1403.3639605350886,1746.6360394649114,155.9293289483432,194.0706710516568,2516.853283434245,3132.4921934119548,2805.8476723965996,1750,1055,21.1,18.80062194748595,23.399378052514052
16,5/22/20,57.62590643520001,1016.5712268447,1638.9,182.10000000000002,2837.5712268447,1000,905.7901098862174,1127.3523438031827,891.0247368476754,1108.9752631523247,1460.300441219655,1817.499558780345,162.2556045799617,201.94439542003835,2528.346155685834,3146.796298003566,2821.5204024298,1821,1000,20.0,17.820494736953506,22.179505263046494
17,5/23/20,48.56607894689999,958.9971557661,1700.1000000000001,188.9,2847.9971557661,945,854.4901883541585,1063.5041231780417,842.0183763210532,1047.9816236789468,1514.831155114733,1885.3688448852672,168.3145727905259,209.48542720947412,2537.635916259417,3158.358395272783,2834.6835638304,1889,945,18.900000000000002,16.840367526421065,20.95963247357894
18,5/24/20,40.9320045976,903.8068900667,1757.7,195.3,2856.8068900667,892,805.3142963827972,1002.2994837506028,794.7940652681265,989.2059347318735,1566.154179957159,1949.2458200428412,174.017131106351,216.58286889364902,2545.4856074463073,3168.1281726870925,2845.7993020036997,1953,892,17.84,15.895881305362527,19.78411869463747
19,5/25/20,34.4989306724,851.9264785195,1811.7,201.3,2864.9264785195,842,759.0875663364043,944.7653907025958,750.2428284257427,933.7571715742573,1614.2695157469334,2009.1304842530667,179.36327952743707,223.23672047256295,2552.720361610775,3177.132595428225,2855.2055853149,2013,842,16.84,15.004856568514853,18.675143431485147
20,5/26/20,29.0750325404,801.3686696084,1863.0,207.0,2871.3686696084,793,714.0393079557963,888.6980312610036,706.5826163202065,879.4173836797935,1659.9790847472193,2066.020915252781,184.4421205274688,229.5578794725312,2558.460513230484,3184.276825986316,2863.1050293476997,2070,793,15.860000000000001,14.131652326404133,17.58834767359587
21,5/27/20,24.5025921383,753.0722523648,1910.7,212.3,2876.0722523648,746,671.0060054906321,835.1384992389678,664.7044536883658,827.2955463116342,1702.4809646948534,2118.9190353051467,189.1645516327615,235.43544836723854,2562.651521818247,3189.492982911353,2869.7453411648003,2123,746,14.92,13.294089073767315,16.545910926232683
22,5/28/20,20.6517616095,707.9477441276,1955.7,217.3,2880.9477441276,702,630.7989524132003,785.0965358419998,625.4993652670681,778.5006347329319,1742.5770778529986,2168.8229221470015,193.61967531699986,240.98032468300016,2566.9957055831987,3194.899782672001,2875.3746820640004,2173,702,14.040000000000001,12.509987305341363,15.570012694658638
23,5/29/20,17.405557631500002,665.0062051468,1998.0,222.0,2885.0062051468,660,592.5369789429986,737.4754313506013,588.0763263194657,731.9236736805343,1780.2674242216553,2215.7325757783447,197.80749158018392,246.19250841981608,2570.6118947448376,3199.400515548762,2880.1128986073995,2220,660,13.200000000000001,11.761526526389316,14.638473473610686
24,5/30/20,14.668230333199999,624.2304768268,2037.6000000000001,226.4,2888.2304768268,620,556.2047963468983,692.2561573067017,552.4353368455587,687.5646631544413,1815.5520038008235,2259.6479961991768,201.7280004223137,251.0719995776863,2573.4848005700355,3202.9761530835644,2884.0877409636996,2264,620,12.4,11.048706736911175,13.751293263088826
25,5/31/20,12.362391949400001,584.5651041207,2075.4,230.60000000000002,2890.5651041207,581,520.8619680694807,648.2682401719193,517.6853721084993,644.3146278915007,1849.2327388536655,2301.5672611463347,205.47030431707395,255.7296956829261,2575.5650112402204,3205.56519700118,2887.4495139846,2306,581,11.620000000000001,10.353707442169988,12.886292557830014
