,index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max,R_big,F,H,icu_mean,icu_min,icu_max
15,5/21/20,2813.0613701698,11280.101209481,6893.1,765.9000000000001,18939.101209481,8499,9310.014989365409,13250.18742959659,7014.637185002457,9983.362814997543,5689.209975284203,8096.9900247157975,632.1344416982448,899.6655583017554,15631.359406347856,22246.843012614143,16158.258169159202,7659,8499,169.98,140.29274370004913,199.66725629995085
16,5/22/20,2728.9260608858,11257.0660566887,7412.400000000001,823.6,19493.0660566887,8560,9291.002959792626,13223.129153584774,7064.983445537244,10055.016554462756,6117.813468656574,8706.986531343427,679.7570520729525,967.4429479270475,16088.573480522155,22897.55863285525,16796.3672551677,8236,8560,171.20000000000002,141.29966891074488,201.10033108925515
17,5/23/20,2646.7968108488,11212.162431596,7936.2,881.8000000000001,20030.162431596,8596,9253.941818679947,13170.383044512053,7094.695992738101,10097.304007261899,6550.13103042905,9322.268969570949,727.7923367143391,1035.8076632856612,16531.865185823335,23528.459677368664,17414.9495151086,8818,8596,171.92000000000002,141.89391985476203,201.946080145238
18,5/24/20,2566.8904928812,11149.9698885052,8461.800000000001,940.2,20551.9698885052,8612,9202.611294454204,13097.328482556197,7107.901569271816,10116.098430728185,6983.934219561572,9939.66578043843,775.9926910623968,1104.4073089376034,16962.53820507817,24141.401571932227,18014.7803164728,9402,8612,172.24,142.15803138543632,202.3219686145637
19,5/25/20,2489.6647438253,11070.7887458828,8988.300000000001,998.7,21057.7887458828,8609,9137.259254521263,13004.318237244339,7105.4255236717445,10112.574476328256,7418.4802223741135,10558.119777625889,824.2755802637904,1173.1244197362098,17380.015057159166,24735.562434606436,18596.7807554963,9987,8609,172.18,142.1085104734349,202.2514895265651
20,5/26/20,2415.32362807,10976.2229260993,9514.800000000001,1057.2,21548.2229260993,8589,9059.209493857234,12893.236358341368,7088.918553004602,10089.081446995398,7853.026225186656,11176.573774813347,872.5584694651839,1241.8415305348162,17784.794188509073,25311.65166368953,19161.6818619649,10572,8589,171.78,141.778371060092,201.781628939908
21,5/27/20,2343.3142796997,10867.774964876,10040.4,1115.6000000000001,22023.774964876,8553,8969.702128116009,12765.847801635991,7059.206005803743,10046.793994196256,8286.829414319174,11793.970585680825,920.7588238132419,1310.4411761867584,18177.290366248428,25870.259563503572,19709.676996962,11156,8553,171.06,141.18412011607487,200.93587988392514
22,5/28/20,2273.2870584035,10748.7125820081,10563.300000000001,1173.7,22485.7125820081,8504,8871.43416503798,12625.99099897822,7018.7639276692435,9989.236072330757,8718.404162411633,12408.19583758837,968.7115736012925,1378.6884263987076,18558.5499010509,26412.875262965295,20241.0792652237,11737,8504,170.08,140.37527855338487,199.78472144661515
23,5/29/20,2205.0239599889,10618.1520113635,11083.5,1231.5,22933.152011363498,8441,8763.676189542186,12472.627833184813,6966.7669700677425,9915.233029932258,9147.750469464023,13019.249530535977,1016.4167188293359,1446.5832811706641,18927.843377835543,26938.460644891453,20756.276912277903,12315,8441,168.82,139.33533940135484,198.30466059864514
24,5/30/20,2138.4383695626,10479.058291493,11599.2,1288.8000000000002,23367.058291493,8367,8648.875391847878,12309.241191138122,6905.6911785993125,9828.308821400688,9573.382708116309,13625.017291883692,1063.709189790701,1513.8908102092994,19285.967289754884,27448.149293231112,21255.7331582688,12888,8367,167.34,138.11382357198627,196.56617642801373
