index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
6/1/20,10.4195812656,2.9963850432,2815.1436104209,75.1475707094,2893.2875661734,0.7790601112000001,2.7071637361,3.2856063503,0.7038625714000001,0.8542576511000001,2543.416344712,3086.8708761297,67.8940708034,82.4010706154,2614.0175792515,3172.5575530954
6/2/20,8.7811689947,2.5288444856,2817.4644358312,75.2095229277,2895.2028032445,0.6574995663000001,2.2847517882,2.772937183,0.5940354649,0.7209636676000001,2545.5131561358,3089.4157155265,67.9500431823,82.4690026732,2615.7479511063,3174.6576553828
6/3/20,7.400130708,2.1375646662,2819.4175854083,75.2616603908,2896.8168104653,0.5557668132,1.9312396319,2.3438897005,0.5021223043,0.6094113221,2547.2777810522,3091.5573897645,67.9971481595,82.526172622,2617.2061688436,3176.427452087
6/4/20,6.2373519953,1.7956787613,2821.0757725249,75.3059241126,2898.1773753988,0.46687647790000003,1.622353721,1.9690038017,0.4218119675,0.5119409884,2548.7759142911,3093.3756307588,68.0371393959,82.5747088293,2618.4354074079,3177.9193433898
6/5/20,5.2568747759,1.5121663699,2822.4687283084,75.3431077372,2899.3240024155,0.39316325620000003,1.3662069128,1.658125827,0.3552137973,0.43111271500000004,2550.0344172299,3094.9030393868,68.0707339302,82.6154815442,2619.4713580729,3179.176646758
6/6/20,4.4299738444,1.2791179849,2823.636825351,75.3742889724,2900.2902323083,0.3325706761,1.155653153,1.4025828167,0.30046981980000004,0.3646715323,2551.0897655609,3096.1838851412,68.0989054462,82.6496724986,2620.34432416,3180.2361404566
6/7/20,3.7337217351,1.076548933,2824.6273541635,75.4007301933,2901.1046332897,0.2799027226,0.9726367571000001,1.1804611089,0.2528855568,0.3069198883,2551.9846851529,3097.270023174,68.1227944702,82.6786659163,2621.0801163802,3181.1291501992
6/8/20,3.1469401103,0.9052278180000001,2825.4628069072,75.4230318066,2901.7910665317,0.2353592327,0.8178521406,0.9926034953,0.2126415566,0.2580769088,2552.7394971475,3098.1861166668,68.1429434557,82.7031201574,2621.7002927437,3181.8818403196
6/9/20,2.6520304478,0.76468633,2826.1630937921,75.4417252963,2902.3695054184,0.19881844580000002,0.6908761965,0.8384964634000001,0.1796278111,0.2180090805,2553.3721899531,3098.9539976311,68.159832586,82.7236180066,2622.2228987357,3182.5161121011
6/10/20,2.235075434,0.6449042859,2826.7545946833,75.4575148478,2902.8570138169,0.1676751143,0.582655924,0.7071526478,0.1514905402,0.1838596884,2553.9065971602,3099.6025922063,68.1740980761,82.7409316195,2622.6633511604,3183.0506764735
6/11/20,1.8838310364000002,0.542080636,2827.2549917593,75.47087247,2903.2679448653,0.1409409654,0.48975716360000005,0.5944041084,0.1273368625,0.1545450682,2554.3586942033,3100.1512893154,68.186166375,82.7555785649,2623.034617742,3183.5012719887
6/12/20,1.5876335283,0.4572745809,2827.6748695065,75.4820807055,2903.6142247929,0.11889139100000001,0.4131368782,0.5014122835,0.1074155883,0.1303671937,2554.7380439179,3100.6116950952,68.1962927535,82.7678686576,2623.3474735496,3183.8809760363
6/13/20,1.3379723369,0.386166581,2828.0283671069,75.4915169864,2903.9060506743,0.1004033111,0.3488924651,0.4234406969,0.0907120409,0.1100945812,2555.0574207238,3100.99931349,68.2048182123,82.7782157605,2623.6111314012,3184.2009699474
6/14/20,1.1277048127,0.3246106938,2828.327924939,75.4995133967,2904.1520490295,0.0843987804,0.2932781621,0.3559432254,0.0762523222,0.09254523860000001,2555.3280642119,3101.327785666,68.2120427818,82.7869840116,2623.8333851559,3184.470712903
6/15/20,0.9504224818,0.2734935991,2828.5796281914,75.5062323747,2904.3593541653,0.0711083358,0.24709506390000002,0.2998921344,0.0642447166,0.0779719549,2555.5554722077,3101.6037841751,68.2181132212,82.7943515283,2624.0206804927,3184.6980278378
6/16/20,0.8009495680000001,0.23114785270000002,2828.7910183054,75.511875232,2904.5340413901,0.060098441700000005,0.2088366734,0.25345903210000004,0.0542975351,0.06589934830000001,2555.7464582267,3101.8355783841,68.2232114106,82.8005390534,2624.1785063106,3184.8895764696
6/17/20,0.6750657076000001,0.1944806972,2828.9701545675,75.51665710340001,2904.6812923682,0.0505649813,0.1757087568,0.21325263760000002,0.0456842768,0.055445685800000005,2555.9083036456,3102.0320054894,68.2275317195,82.8057824874,2624.3115441219,3185.0510406144
6/18/20,0.5689605754,0.1636081041,2829.12110827,75.5206866684,2904.8054030425,0.0425381071,0.1478160917,0.1794001165,0.0384321838,0.0466440303,2556.0446867817,3102.1975297583,68.2311723371,82.8102009997,2624.4236752105,3185.1871308744
6/19/20,0.479483154,0.1382302013,2829.2476824001,75.5240654439,2904.9099780453,0.0359398523,0.12488775070000001,0.1515726519,0.0324708152,0.0394088895,2556.1590435449,3102.3363212552,68.2342249817,82.8139059062,2624.5181562773,3185.3017998133
6/20/20,0.4040964879,0.116629486,2829.354565503,75.5269185863,2904.9981135753,0.0303236664,0.10537201010000001,0.1278869619,0.0273967226,0.0332506101,2556.2556099261,3102.4535210799,68.236802729,82.8170344436,2624.5977846652,3185.3984424854
6/21/20,0.34058495980000003,0.0981560075,2829.4449155235,75.5293303939,2905.0724019248,0.025520561900000002,0.0886816547,0.1076303602,0.0230572302,0.0279838936,2556.3372390544,3102.5525919926,68.2389817407,82.819679047,2624.6649024498,3185.4799013998
