index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/17/20,1634.5565516414,1695.7566234053,7815.735103258,208.6335859186,9720.1253125819,440.8967220854,1655.4715844357,1736.0416623749,430.4226119533,451.3708322175,7630.0615290759,8001.4086774401,203.6772071417,213.5899646955,9489.2103206533,9951.0403045105
5/18/20,1564.6602508012,1615.5273003169,8205.3628724477,219.0343271906,10039.9244999552,420.0370980824,1577.1482196449,1653.9063809888,410.0585371077,430.0156590571,8010.4331528679,8400.2925920276,213.8308644503,224.2377899309,9801.4122369631,10278.4367629473
5/19/20,1496.4187068606,1540.8013726039,8576.4048402277,228.9389382402,10346.1451510718,400.608356877,1504.197509477,1577.4052357309,391.091352464,410.12536129,8372.6605066136,8780.1491738418,223.5001777946,234.3776986857,10100.3581938852,10591.9321082584
5/20/20,1430.5165655472,1470.348212874,8930.2791068743,238.3852739001,10639.0125936485,382.2905353472,1435.4180617917,1505.2783639564,373.2086960658,391.3723746287,8718.1280016602,9142.4302120885,232.7221027137,244.0484450866,10386.2681661656,10891.7570211314
5/21/20,1367.6184998061,1402.9781072407,9268.349269896,247.409734104,10918.7371112407,364.7743078826,1369.6484259978,1436.3077884836,356.1085907594,373.4400250057,9048.1668413753,9488.5316984166,241.5321744104,253.2872937976,10659.3474417835,11178.1267806978
5/22/20,1307.2841164111,1338.950541193,9591.0856999103,256.0248749463,11186.0611160495,348.1271407102,1307.1419231485,1370.7591592374,339.8569000186,356.3973814017,9363.2362220733,9818.9351777472,249.9426506919,262.1070992006,10920.3207959137,11451.8014361853
5/23/20,1249.2532490324,1278.3059274549,9899.0595066971,264.2459416572,11441.6113758093,332.3595411383,1247.9380059078,1308.673849002,324.463881536,340.2552007405,9663.8936860332,10134.2253273611,257.9684146169,270.5234686975,11169.8001065579,11713.4226450606
5/24/20,1193.4408854276,1220.869592857,10192.9453456324,272.0909435179,11685.9058820073,317.4260941428,1191.8661507084,1249.8730350056,309.8851991842,324.9669891014,9950.7978612611,10435.0928300037,265.6270476312,278.5548394046,11408.2910596007,11963.5207044139
5/25/20,1139.9238616355,1166.2689920937,10473.5112752638,279.5803831179,11919.3606504754,303.2299379444,1138.5626625727,1193.9753216147,296.0262922689,310.4335836198,10224.698560014,10722.3239905135,272.938565257,286.2222009788,11636.1997878437,12202.521513107
5/26/20,1088.9376536227,1113.9378451548,10741.6163463983,286.7371919983,12142.2913835514,289.6238397402,1087.4747142536,1140.4009760559,282.7434257059,296.5042537745,10486.4344251613,10996.7982676353,279.9253542651,293.5490297315,11853.83449368,12430.7482734227
5/27/20,1040.4413297072,1063.6792631383,10997.8782470971,293.5778587521,12355.1353689874,276.5566084159,1038.4100942167,1088.9484320598,269.9866244963,283.1265923355,10736.6084707318,11259.1480234623,286.603511539,300.5522059651,12061.6220764876,12648.6486614872
