index,exposed,active_mean,recovered_mean,deceased_mean,confirmed_mean,hospitalized_mean,active_min,active_max,hospitalized_min,hospitalized_max,recovered_min,recovered_max,deceased_min,deceased_max,confirmed_min,confirmed_max
5/16/20,3269.5344972682,3247.6253664298,12326.369992036,329.0406774055,15903.0360358713,844.3825952718,3193.6511036754,3301.5996291843,830.3492869556,858.4159035879,12121.510546228,12531.2294378439,323.5721501046,334.5092047063,15638.733800008,16167.3382717345
5/17/20,3173.5661836719,3147.4151330277,13051.6098511039,348.4002629658,16547.4252470974,818.3279345872,3095.1063251389,3199.7239409165,804.7276445361,831.9282246383,12834.6972026334,13268.5224995743,342.6099869286,354.190539003,16272.4135147009,16822.4369794938
5/18/20,3079.1652599237,3051.7538030694,13754.1954443835,367.1551145318,17173.1043619847,793.455988798,3001.0348490511,3102.4727570878,780.2690607533,806.6429168428,13525.6060982831,13982.7847904839,361.0531402006,373.257088863,16887.6940875347,17458.5146364346
5/19/20,2987.6864952876,2958.8517017744,14435.7384386977,385.3482540104,17779.9383944826,769.3014424614,2909.6767443259,3008.026659223,756.5159535247,782.086931398,14195.822114728,14675.6547626675,378.9439168203,391.7525912006,17484.4427758741,18075.4340130911
5/20/20,2899.2266298981,2868.4090998344,15096.9928102622,402.9998080768,18368.4017181734,745.786365957,2820.7372630388,2916.08093663,733.3916883901,758.1810435238,14846.0866973939,15347.8989231304,396.3021089653,409.6975071883,18063.1260693981,18673.6773669487
5/21/20,2813.0613701698,2781.101209481,15738.1434567611,420.1147123981,18939.3593786403,723.0863144651,2734.8803956584,2827.3220233036,711.0689028712,735.1037260589,15476.5816710382,15999.7052424841,413.1325702741,427.0968545222,18624.5946369707,19254.1241203098
5/22/20,2728.9260608858,2697.0660566887,16359.6617065333,436.7055486344,19493.4333118564,701.2371747391,2652.2418742216,2741.8902391559,689.5828872976,712.8914621805,16087.7705307068,16631.5528823597,429.4476733043,443.9634239644,19169.4600782327,19817.40654548
5/23/20,2646.7968108488,2616.162431596,16962.1608277158,452.7886873928,20031.1119467047,680.202232215,2572.6828357193,2659.6420274727,668.897537287,691.5069271429,16680.2563522606,17244.0653031711,445.2635165901,460.3138581955,19698.2027045701,20364.0211888393
5/24/20,2566.8904928812,2537.9698885052,17546.3960282445,468.3842882283,20552.750204978,659.8721710114,2495.789822097,2580.1499549135,648.9053537452,670.8389882775,17254.7817923749,17838.0102641141,460.5999246425,476.1686518141,20211.1715391143,20894.3288708417
5/25/20,2489.6647438253,2461.7887458828,18113.2644558534,483.5162996429,21058.569501379,640.0650739295,2420.8747802543,2502.7027115112,629.4274428661,650.7027049929,17812.2290885395,18414.2998231673,475.4804479487,491.5521513371,20708.5843167425,21408.5546860156
